ID,context,dur,language,gender,gestures
Catalan_1,friend,137,Catalan,M,61
Catalan_1,prof,136,Catalan,M,78
Catalan_2,friend,90,Catalan,F,31
Catalan_2,prof,107,Catalan,F,40
Catalan_3,friend,181,Catalan,M,81
Catalan_3,prof,165,Catalan,M,49
Catalan_4,friend,130,Catalan,M,32
Catalan_4,prof,115,Catalan,M,49
Catalan_5,friend,122,Catalan,F,39
Catalan_5,prof,125,Catalan,F,32
Catalan_6,friend,164,Catalan,F,35
Catalan_6,prof,123,Catalan,F,30
Catalan_7,friend,154,Catalan,F,88
Catalan_7,prof,131,Catalan,F,73
Catalan_8,friend,146,Catalan,F,59
Catalan_8,prof,133,Catalan,F,47
Catalan_9,friend,150,Catalan,M,22
Catalan_9,prof,137,Catalan,M,13
Catalan_11,friend,117,Catalan,F,61
Catalan_11,prof,165,Catalan,F,73
Catalan_12,friend,134,Catalan,M,58
Catalan_12,prof,132,Catalan,M,51
Catalan_13,friend,180,Catalan,M,101
Catalan_13,prof,173,Catalan,M,82
Catalan_14,friend,160,Catalan,M,56
Catalan_14,prof,172,Catalan,M,74
Catalan_16,friend,71,Catalan,F,40
Catalan_16,prof,79,Catalan,F,43
Korean_1,friend,152,Korean,F,91
Korean_1,prof,138,Korean,F,76
Korean_2,friend,144,Korean,M,62
Korean_2,prof,139,Korean,M,37
Korean_3,friend,187,Korean,F,89
Korean_3,prof,138,Korean,F,49
Korean_4,friend,67,Korean,F,30
Korean_4,prof,75,Korean,F,30
Korean_5,friend,127,Korean,M,33
Korean_5,prof,98,Korean,M,11
Korean_6,friend,87,Korean,F,26
Korean_6,prof,58,Korean,F,13
Korean_7,friend,140,Korean,F,63
Korean_7,prof,132,Korean,F,62
Korean_8,friend,116,Korean,M,51
Korean_8,prof,103,Korean,M,27
Korean_9,friend,146,Korean,M,67
Korean_9,prof,106,Korean,M,49
Korean_10,friend,175,Korean,M,61
Korean_10,prof,165,Korean,M,61
Korean_11,friend,83,Korean,M,31
Korean_11,prof,86,Korean,M,16
Korean_12,friend,148,Korean,F,63
Korean_12,prof,81,Korean,F,42
Korean_13,friend,137,Korean,F,22
Korean_13,prof,78,Korean,F,10
